"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements"
"35268","35268_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","China Development Bank loans US$200 million for projects","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","240","Banking and Financial Services","Completion","2011","2011","165790082.3","0.0","165790082.3","0.0"
"36065","36065_203312","6","203312","Congo","","","PCLI","independent political entity","6295630|6255146|CD","Earth|Africa|Congo","1","1","1","China donates medical materials to the Democratic Republic of Congo","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","120","Health","Completion"," "," ","0.0","0.0","0.0","0.0"
"36101","36101_49518","6","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","1","1","1","China donates 50 million Yuan to support the Rwandan government","","start-actual","","end-actual","China","CHN","Rwanda","RWA","510","General budget support","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"36079","36079_149590","6","149590","Tanzania","","","PCLI","independent political entity","6295630|6255146|TZ","Earth|Africa|Tanzania","1","1","1","China donates OB van to Tanzanian national broadcasting corporation","","start-actual","","end-actual","China","CHN","Tanzania","TZA","160","Other Social Infrastructure and Services","Completion"," "," ","0.0","0.0","0.0","0.0"
"36071","36071_149590","8","149590","Tanzania","","","PCLI","independent political entity","6295630|6255146|TZ","Earth|Africa|Tanzania","1","2","1","China offers Tanzania 26 billion Tanzanian shilling interest-free loan (link to ID#36070)","","start-actual","","end-actual","China","CHN","Tanzania","TZA","998","Unallocated / Unspecified","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"37936","37936_226074","8","226074","Uganda","","","PCLI","independent political entity","6295630|6255146|UG","Earth|Africa|Uganda","1","2","1","Chinese Embassy in Uganda gifted office appliances to the office Ugandan Foreign Minister","","start-actual","","end-actual","China","CHN","Uganda","UGA","150","Government and Civil Society","Completion"," "," ","0.0","0.0","0.0","0.0"
"37209","37209_433561","6","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","1","1","1","China Commits to Provide 31.6 million usd in Socioeconomic assistance to Burundi","","start-actual","","end-actual","China","CHN","Burundi","BDI","430","Other","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"36021","36021_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","1","2","1","China donates $100K to International Conference on the Great Lakes Region","","start-actual","","end-actual","China","CHN","Burundi","BDI","150","Government and Civil Society","Implementation"," "," ","0.0","0.0","0.0","0.0"
"36018","36018_433561","6","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","1","1","1","China sends 16th medical team to Burundi","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Completion"," "," ","0.0","0.0","0.0","0.0"
"277","277_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Debt Relief","2001-04-27","start-actual","2001-04-27","end-actual","China","CHN","Burundi","BDI","600","Action Relating to Debt","Completion","2001","2001","76028223.57","0.0","76028223.57","0.0"
"280","280_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Government Assistance Technical Agreement","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2001","2001","4017885.869","0.0","4017885.869","0.0"
"290","290_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Economic Grant","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2003","2003","5839327.976","0.0","5839327.976","0.0"
"316","316_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Debt cancellation Part 1","2007-05-25","start-actual","2007-05-25","end-actual","China","CHN","Burundi","BDI","600","Action Relating to Debt","Completion","2007","2007","33411382.32","0.0","33411382.32","0.0"
"327","327_433561","6","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","1","1","1","Post-graduate studies scholarships","","start-actual","","end-actual","China","CHN","Burundi","BDI","110","Education","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"345","345_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Interest-free Loan","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2008","2008","2022252.968","0.0","2022252.968","0.0"
"357","357_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Socio-economic Project Donation","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2010","2010","5492699.298","0.0","5492699.298","0.0"
"12324","12324_433561","6","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","1","1","1","Malaria Treatment Drugs","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Implementation","2007","2007","241126.7838","0.0","241126.7838","0.0"
"12353","12353_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Debt cancellation Part 2","2007-09-13","start-actual","2007-09-13","end-actual","China","CHN","Burundi","BDI","600","Action Relating to Debt","Completion","2007","2007","21563674.78","0.0","21563674.78","0.0"
"30058","30058_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Donation of solar photovoltaic systems","","start-actual","","end-actual","China","CHN","Burundi","BDI","230","Energy Generation and Supply","Completion","2012","2012","1130193.661","0.0","1130193.661","0.0"
"30063","30063_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Aircraft MA60 deal","","start-actual","","end-actual","China","CHN","Burundi","BDI","210","Transport and Storage","Completion"," "," ","0.0","0.0","0.0","0.0"
"30096","30096_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Donation of vehicles to health ministry ","2012-04-23","start-actual","2012-04-23","end-actual","China","CHN","Burundi","BDI","120","Health","Completion","2012","2012","168096.0434","0.0","168096.0434","0.0"
"30476","30476_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Mixed Commission on Sin-Burundian Cooperation Grant","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2011","2011","6414573.805","0.0","6414573.805","0.0"
"30480","30480_433561","6","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","1","1","1","China agrees to provide interest-free loan of 100 million CNY to Burundi","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2011","2011","12829147.61","0.0","12829147.61","0.0"
"30491","30491_433561","8","433561","Burundi","","","PCLI","independent political entity","6295630|6255146|BI","Earth|Africa|Burundi","2","1","1","Donation of goods to celebrate Burundi's fiftieth anniversary of independence","","start-actual","","end-actual","China","CHN","Burundi","BDI","150","Government and Civil Society","Completion"," "," ","0.0","0.0","0.0","0.0"
"413","413_203312","6","203312","Congo","","","PCLI","independent political entity","6295630|6255146|CD","Earth|Africa|Congo","1","1","1","Interest-free loan for Telecommunication","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","220","Communications","Pipeline/identification","2006","2006","1749540.743","0.0","1749540.743","0.0"
"417","417_203312","6","203312","Congo","","","PCLI","independent political entity","6295630|6255146|CD","Earth|Africa|Congo","1","1","1","Broadcasting information and equipment","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","220","Communications","Completion"," "," ","0.0","0.0","0.0","0.0"
"432","432_203312","8","203312","Congo","","","PCLI","independent political entity","6295630|6255146|CD","Earth|Africa|Congo","2","1","1","Technical and Economic Cooperation Grant","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","998","Unallocated / Unspecified","Pipeline/identification","2003","2003","3892885.318","0.0","3892885.318","0.0"
"453","453_203312","6","203312","Congo","","","PCLI","independent political entity","6295630|6255146|CD","Earth|Africa|Congo","1","1","1","Humanitarian Aid","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","700","Humanitarian Aid (Including Reconstruction and Recovery)","Pipeline/identification","2009","2009","585530.1404","0.0","585530.1404","0.0"
"459","459_203312","6","203312","Congo","","","PCLI","independent political entity","6295630|6255146|CD","Earth|Africa|Congo","1","1","1","Grant for Infrastructure","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","998","Unallocated / Unspecified","Pipeline/identification","2011","2011","6414573.805","0.0","6414573.805","0.0"
"461","461_203312","6","203312","Congo","","","PCLI","independent political entity","6295630|6255146|CD","Earth|Africa|Congo","1","1","1","Development Deal","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","430","Other","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"19678","19678_203312","6","203312","Congo","","","PCLI","independent political entity","6295630|6255146|CD","Earth|Africa|Congo","1","1","1","Annual Scholarships","2001-01-01","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","110","Education","Implementation","2001","2001","0.0","0.0","0.0","0.0"
"30089","30089_203312","8","203312","Congo","","","PCLI","independent political entity","6295630|6255146|CD","Earth|Africa|Congo","2","1","1","Demining team assistance","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","150","Government and Civil Society","Completion"," "," ","0.0","0.0","0.0","0.0"
"1802","1802_49518","8","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","2","1","1","Loan extended for infrastructure and government ","","start-actual","","end-actual","China","CHN","Rwanda","RWA","998","Unallocated / Unspecified","Pipeline/identification","2003","2003","5992979.778","0.0","2996489.889","0.0"
"1837","1837_49518","6","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","1","1","1","Economic development grant","","start-actual","","end-actual","China","CHN","Rwanda","RWA","998","Unallocated / Unspecified","Pipeline/identification","2000","2000","4100368.34","0.0","4100368.34","0.0"
"1867","1867_49518","8","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","2","1","1","Cancellation of expired loans","2001-11-12","start-actual","2001-11-12","end-actual","China","CHN","Rwanda","RWA","600","Action Relating to Debt","Completion","2001","2001","4489602.646","0.0","4489602.646","0.0"
"1876","1876_49518","8","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","2","1","1","Cancellation of expired debt","2001-11-12","start-actual","2001-11-12","end-actual","China","CHN","Rwanda","RWA","600","Action Relating to Debt","Completion","2001","2001","22737216.13","0.0","22737216.13","0.0"
"1877","1877_49518","6","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","1","1","1","Grant for bilateral projects","","start-actual","","end-actual","China","CHN","Rwanda","RWA","998","Unallocated / Unspecified","Pipeline/identification","2001","2001","6026828.804","0.0","6026828.804","0.0"
"1890","1890_49518","6","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","1","1","1","Donation of medical instruments and medicine","","start-actual","","end-actual","China","CHN","Rwanda","RWA","120","Health","Pipeline/identification","2006","2006","337570.9487","0.0","337570.9487","0.0"
"1893","1893_49518","8","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","2","1","1","Training of government officials","","start-actual","","end-actual","China","CHN","Rwanda","RWA","150","Government and Civil Society","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"1894","1894_49518","6","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","1","1","1","Scholarships for undergraduate and postgraduate studies in China","","start-actual","","end-actual","China","CHN","Rwanda","RWA","110","Education","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"1895","1895_49518","6","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","1","1","1","Grants for economic development","","start-actual","","end-actual","China","CHN","Rwanda","RWA","998","Unallocated / Unspecified","Pipeline/identification","2006","2006","3375709.487","0.0","3375709.487","0.0"
"1897","1897_49518","6","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","1","1","1","Donation of anti-malaria medicine","","start-actual","","end-actual","China","CHN","Rwanda","RWA","120","Health","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"1899","1899_49518","8","49518","Rwanda","","","PCLI","independent political entity","6295630|6255146|RW","Earth|Africa|Rwanda","2","1","1","Cancellation of debts","2007-05-19","start-actual","2007-05-19","end-actual","China","CHN","Rwanda","RWA","600","Action Relating to Debt","Completion","2007","2007","190931963.9","0.0","190931963.9","0.0"
