"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"tYdWUyS6DU9tBRLkMmXibN","35687","","2011","C","USD","26522593.36"
"hSQb4RjUPpWgiqxwFPKGac","32164","","2011","C","USD","56694073.91"
"BSTPEen5AHkDZAbZnxzZCM","32249","","2011","C","USD","22176081.41"
"atP3aerEEa2X6TqeSJKZdG","35568","","2011","C","USD","43142724.16"
"r9NAzdtMRuwkJfHQzwDJsV","32252","","2011","C","USD","53052.82633"
"d6kWz7zZ94CQbpfpcpcAid","32198","","2011","C","USD","64145.73805"
"ZVHhPmAE5vyBihNqRmGfgn","33077","","2011","C","USD","1243425.617"
"2bvWCtWBGb3tAFMSChCi2o","32241","","2011","C","USD","6414573.805"
"HexKogvh3uz4q2P8vCCGHP","32248","","2011","C","USD","384874.4283"
"2EWBB2kHwXGomKB6tq86Bd","32212","","2011","C","USD","1282.914761"
"JA7SvHFz3T2bxstiMQRJgG","32209","","2011","C","USD","6414573.805"
"a9G3NufQqG3RVHkCfPHAYF","35591","","2012","C","USD","27789467.66"
"8kDhXXSn4T84tAKUUGA7jC","32191","","2012","C","USD","2150053.455"
"KCwyPwChEKxDrMwV6hMxJf","32155","","2012","C","USD","75032526.58"
"GurAnVH3kiJozerdUAQ3JD","33064","","2012","C","USD","47739276.31"
"XcqdMtKQRXnwqEkaYyXpMh","32189","","2012","C","USD","95345651.69"
"QAMEpFk2vnNnezYVQUBsJo","38743","","2012","C","USD","83445901.65"
"UgHj2PNWvWPjNiE7QG55Bf","32160","","2012","C","USD","253825025.5"
"9ajAyDWBoVi3947BvhbTRW","33187","","2012","C","USD","353001691.0"
"fWMMbS6bYogijaawyeNd6k","32232","","2012","C","USD","20171525.2"
"ffP2dggBWEMU7BSeZQ4ud4","32247","","2012","C","USD","390823.3008"
"SaivC5Q7kekHNpjKgSU87H","32174","","2012","C","USD","338713.5274"
"SzwjQMJNT7t6QxhmDX5yi7","35577","","2012","C","USD","132795.8743"
"WBTjvhv2khsGC3Sh8ejS2U","32167","","2012","C","USD","168096.0434"
"6yhyjz67GiDaz2eP8eBWBB","32230","","2012","C","USD","67238417.34"
"aqE3mkXjPHu7YfwctwgoE9","32235","","2012","C","USD","42024010.84"
"VnaqdR54EDtPKQJnqw4RXd","32454","","2008","C","USD","606675.8905"
"Wt4uVzoctXbwitYrmQaQKo","34450","","2004","C","USD","5093203.769"
"6EcJmAB63VYyEtVhSMssuT","36000","","2008","C","USD","75834486.31"
"pwMsrxMoADSJJ8gecyjTeQ","36038","","2008","C","USD","303337.9452"
"isxC892ivFPySRw8rEZABH","39421","","2008","C","USD","50556.32421"
