"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"38722","38722_8403885","3","8403885","Srŏk Bathéay","12.02986","104.93171","ADM2","second-order administrative division","6295630|6255147|KH|02|8403885","Earth|Asia|Cambodia|Kampong Cham Province|Srŏk Bathéay","1","1"
"33071","33071_8403983","3","8403983","Srŏk Ch’êh Sên","13.58215","105.34533","ADM2","second-order administrative division","6295630|6255147|KH|13|8403983","Earth|Asia|Cambodia|Preah Vihear Province|Srŏk Ch’êh Sên","1","1"
"33092","33092_8405988","3","8405988","Srŏk Chŭm Kiri","11.0054","104.44207","ADM2","second-order administrative division","6295630|6255147|KH|21|8405988","Earth|Asia|Cambodia|Kampot|Srŏk Chŭm Kiri","1","1"
"35272","35272_8403886","3","8403886","Srŏk Dâmbê","12.03682","105.89976","ADM2","second-order administrative division","6295630|6255147|KH|02|8403886","Earth|Asia|Cambodia|Kampong Cham Province|Srŏk Dâmbê","1","1"
"33092","33092_8405989","3","8405989","Srŏk Dângtóng","10.70733","104.42229","ADM2","second-order administrative division","6295630|6255147|KH|21|8405989","Earth|Asia|Cambodia|Kampot|Srŏk Dângtóng","1","1"
"33092","33092_1830613","3","1830613","Srŏk Kông Pĭsei","11.31648","104.65992","ADM2","second-order administrative division","6295630|6255147|KH|04|1830613","Earth|Asia|Cambodia|Kampong Speu|Srŏk Kông Pĭsei","1","1"
"32146","32146_1831130","3","1831130","Srŏk Kâmpóng Svay","12.74245","104.71999","ADM2","second-order administrative division","6295630|6255147|KH|05|1831130","Earth|Asia|Cambodia|Kampong Thom|Srŏk Kâmpóng Svay","1","2"
"32128","32128_1831130","3","1831130","Srŏk Kâmpóng Svay","12.74245","104.71999","ADM2","second-order administrative division","6295630|6255147|KH|05|1831130","Earth|Asia|Cambodia|Kampong Thom|Srŏk Kâmpóng Svay","1","1"
"32195","32195_1831130","3","1831130","Srŏk Kâmpóng Svay","12.74245","104.71999","ADM2","second-order administrative division","6295630|6255147|KH|05|1831130","Earth|Asia|Cambodia|Kampong Thom|Srŏk Kâmpóng Svay","1","1"
"32153","32153_8405032","3","8405032","Srŏk Kaev Seima","12.41722","106.77025","ADM2","second-order administrative division","6295630|6255147|KH|10|8405032","Earth|Asia|Cambodia|Mondolkiri|Srŏk Kaev Seima","1","1"
"32155","32155_8405032","3","8405032","Srŏk Kaev Seima","12.41722","106.77025","ADM2","second-order administrative division","6295630|6255147|KH|10|8405032","Earth|Asia|Cambodia|Mondolkiri|Srŏk Kaev Seima","1","1"
"32113","32113_8405991","3","8405991","Srŏk Khsăch Kândal","11.69224","105.03732","ADM2","second-order administrative division","6295630|6255147|KH|07|8405991","Earth|Asia|Cambodia|Kandal|Srŏk Khsăch Kândal","1","1"
"32239","32239_8405991","3","8405991","Srŏk Khsăch Kândal","11.69224","105.03732","ADM2","second-order administrative division","6295630|6255147|KH|07|8405991","Earth|Asia|Cambodia|Kandal|Srŏk Khsăch Kândal","1","1"
"35272","35272_8405991","3","8405991","Srŏk Khsăch Kândal","11.69224","105.03732","ADM2","second-order administrative division","6295630|6255147|KH|07|8405991","Earth|Asia|Cambodia|Kandal|Srŏk Khsăch Kândal","1","1"
"38647","38647_8405991","3","8405991","Srŏk Khsăch Kândal","11.69224","105.03732","ADM2","second-order administrative division","6295630|6255147|KH|07|8405991","Earth|Asia|Cambodia|Kandal|Srŏk Khsăch Kândal","1","1"
"32119","32119_8405028","3","8405028","Srŏk Koun Mom","13.51772","106.75142","ADM2","second-order administrative division","6295630|6255147|KH|23|8405028","Earth|Asia|Cambodia|Ratanakiri Province|Srŏk Koun Mom","1","1"
"38785","38785_8403984","3","8403984","Srŏk Kulén","13.78597","104.61052","ADM2","second-order administrative division","6295630|6255147|KH|13|8403984","Earth|Asia|Cambodia|Preah Vihear Province|Srŏk Kulén","1","1"
"39178","39178_8406192","3","8406192","Srŏk Mésang","11.35528","105.57235","ADM2","second-order administrative division","6295630|6255147|KH|14|8406192","Earth|Asia|Cambodia|Prey Veng|Srŏk Mésang","1","1"
"32146","32146_8403888","3","8403888","Srŏk Pônhê Krêk","11.76001","105.85994","ADM2","second-order administrative division","6295630|6255147|KH|02|8403888","Earth|Asia|Cambodia|Kampong Cham Province|Srŏk Pônhê Krêk","1","2"
"32146","32146_8403891","3","8403891","Srŏk Prasat Bakong","13.21031","103.97689","ADM2","second-order administrative division","6295630|6255147|KH|24|8403891","Earth|Asia|Cambodia|Siem Reap|Srŏk Prasat Bakong","1","2"
"32128","32128_8403891","3","8403891","Srŏk Prasat Bakong","13.21031","103.97689","ADM2","second-order administrative division","6295630|6255147|KH|24|8403891","Earth|Asia|Cambodia|Siem Reap|Srŏk Prasat Bakong","1","1"
"32195","32195_1822431","3","1822431","Srŏk Rôviĕng","13.35105","105.09956","ADM2","second-order administrative division","6295630|6255147|KH|13|1822431","Earth|Asia|Cambodia|Preah Vihear|Srŏk Rôviĕng","1","1"
"32105","32105_8403582","3","8403582","Srŏk Rotanak Mondol","12.84048","102.887","ADM2","second-order administrative division","6295630|6255147|KH|29|8403582","Earth|Asia|Cambodia|Battambang|Srŏk Rotanak Mondol","1","1"
"38743","38743_8403582","3","8403582","Srŏk Rotanak Mondol","12.84048","102.887","ADM2","second-order administrative division","6295630|6255147|KH|29|8403582","Earth|Asia|Cambodia|Battambang|Srŏk Rotanak Mondol","1","1"
"32168","32168_8403582","3","8403582","Srŏk Rotanak Mondol","12.84048","102.887","ADM2","second-order administrative division","6295630|6255147|KH|29|8403582","Earth|Asia|Cambodia|Battambang|Srŏk Rotanak Mondol","1","1"
"32119","32119_8404435","3","8404435","Srŏk Srêsén","13.6053","106.35819","ADM2","second-order administrative division","6295630|6255147|KH|17|8404435","Earth|Asia|Cambodia|Stung Treng|Srŏk Srêsén","1","1"
"32146","32146_1822025","3","1822025","Srŏk Stoŭng","12.89922","104.48777","ADM2","second-order administrative division","6295630|6255147|KH|05|1822025","Earth|Asia|Cambodia|Kampong Thom|Srŏk Stoŭng","1","2"
"38785","38785_1822025","3","1822025","Srŏk Stoŭng","12.89922","104.48777","ADM2","second-order administrative division","6295630|6255147|KH|05|1822025","Earth|Asia|Cambodia|Kampong Thom|Srŏk Stoŭng","1","1"
"32128","32128_1822025","3","1822025","Srŏk Stoŭng","12.89922","104.48777","ADM2","second-order administrative division","6295630|6255147|KH|05|1822025","Earth|Asia|Cambodia|Kampong Thom|Srŏk Stoŭng","1","1"
"32239","32239_8406203","3","8406203","Srŏk Svay Ântôr","11.53837","105.43765","ADM2","second-order administrative division","6295630|6255147|KH|14|8406203","Earth|Asia|Cambodia|Prey Veng|Srŏk Svay Ântôr","1","1"
"32195","32195_8403986","3","8403986","Srŏk Tbêng Méanchey","13.78622","105.01586","ADM2","second-order administrative division","6295630|6255147|KH|13|8403986","Earth|Asia|Cambodia|Preah Vihear|Srŏk Tbêng Méanchey","1","1"
"35272","35272_9253747","3","9253747","Srei Santhor","11.83416","105.1693","ADM2","second-order administrative division","6295630|6255147|KH|02|9253747","Earth|Asia|Cambodia|Kampong Cham Province|Srei Santhor","1","1"
"32146","32146_7647211","3","7647211","Stueng Saen","12.63","104.87","ADM2","second-order administrative division","6295630|6255147|KH|05|7647211","Earth|Asia|Cambodia|Kampong Thom|Stueng Saen","1","2"
"32128","32128_7647211","3","7647211","Stueng Saen","12.63","104.87","ADM2","second-order administrative division","6295630|6255147|KH|05|7647211","Earth|Asia|Cambodia|Kampong Thom|Stueng Saen","1","1"
